"TruePositives","TrueNegatives","FalsePositives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa","Iteration","Species","learner_Arr[0]"
4479,2781,2397,700,0.8648387719636995,0.7989083596667624,0.8648387719636995,0.8648387719636995,0.7430941518042307,0.7009751858646326,0.40193144294173316,0,"all","DT"
4793,2633,2545,386,0.9254682371114115,0.8721430937396489,0.9254682371114115,0.9254682371114115,0.765838459694815,0.717002993144733,0.4339831962762974,0,"all","RF"
4155,2923,2255,1024,0.8022784321297548,0.7405624524955663,0.8022784321297548,0.8022784321297548,0.7170592803520581,0.6834025296900647,0.36679052006775076,0,"all","NB"
4804,2726,2452,375,0.9275921992662676,0.8790712673331184,0.9275921992662676,0.9275921992662676,0.7726578206674708,0.7270445109587719,0.4540678752602918,0,"all","MLP"
4471,2744,2434,708,0.8632940722147132,0.7949015063731171,0.8632940722147132,0.8632940722147132,0.7399867593512082,0.6966302983489427,0.3932410647837509,1,"all","DT"
4800,2610,2568,379,0.9268198493917744,0.8732017397122783,0.9268198493917744,0.9268198493917744,0.7651231370048618,0.7154581442502655,0.4308930557367041,1,"all","RF"
4129,2941,2237,1050,0.7972581579455493,0.7369080430969682,0.7972581579455493,0.7972581579455493,0.7152880034647034,0.682630105242831,0.36524615645163305,1,"all","NB"
4829,2720,2458,350,0.9324193859818498,0.8859934853420195,0.9324193859818498,0.9324193859818498,0.7747473126905181,0.728879019020952,0.45773672007198135,1,"all","MLP"
4488,2763,2415,691,0.8665765591813092,0.7999420961204401,0.8665765591813092,0.8665765591813092,0.7429233570600894,0.7001062083614946,0.400193130966587,2,"all","DT"
4797,2633,2545,382,0.9262405869859046,0.8733001658374793,0.9262405869859046,0.9262405869859046,0.7662327290152543,0.7173892053683499,0.4347556096679715,2,"all","RF"
4178,2917,2261,1001,0.8067194439080904,0.7445125063808066,0.8067194439080904,0.8067194439080904,0.7192287829230504,0.6850439316404364,0.3700730587354703,2,"all","NB"
4795,2730,2448,384,0.925854412048658,0.8766859344894027,0.925854412048658,0.925854412048658,0.7720173885042667,0.7265617456792508,0.45310243986481125,2,"all","MLP"
4440,2769,2409,739,0.8573083606873914,0.7893386545039909,0.8573083606873914,0.8573083606873914,0.7382773528433656,0.6960509800135174,0.39208302557272917,3,"all","DT"
4774,2598,2580,405,0.921799575207569,0.8651348651348651,0.921799575207569,0.921799575207569,0.7618287720418095,0.7117891281259052,0.42355487438932643,3,"all","RF"
4138,2881,2297,1041,0.7989959451631589,0.7345741968383478,0.7989959451631589,0.7989959451631589,0.7125882555536421,0.6777058993917158,0.35539669738860424,3,"all","NB"
4779,2708,2470,400,0.9227650125506854,0.8712998712998713,0.9227650125506854,0.9227650125506854,0.7690698422915997,0.7228927295548904,0.4457640631407712,3,"all","MLP"
4457,2736,2442,722,0.8605908476539873,0.7912087912087912,0.8605908476539873,0.8605908476539873,0.7380360986918364,0.6945061311190499,0.38899266191880494,4,"all","DT"
4771,2552,2626,408,0.9212203128016991,0.8621621621621621,0.9212203128016991,0.9212203128016991,0.7587468193384224,0.7070580283865985,0.41409182132606914,4,"all","RF"
4109,2880,2298,1070,0.7933964085730836,0.7291139240506329,0.7933964085730836,0.7933964085730836,0.7093043328154669,0.6748093077145891,0.34960371786537775,4,"all","NB"
4780,2665,2513,399,0.9229581000193088,0.8697780678851175,0.9229581000193088,0.9229581000193088,0.7665169980756896,0.7188375012069133,0.43765283197726124,4,"all","MLP"
4454,2783,2395,725,0.8600115852481174,0.7933295324971493,0.8600115852481174,0.8600115852481174,0.7406052544063851,0.6987544655788356,0.39749016511655505,5,"all","DT"
4774,2610,2568,405,0.921799575207569,0.8656716417910447,0.921799575207569,0.921799575207569,0.7625589010462422,0.7129477647967558,0.4258723701888893,5,"all","RF"
4140,2886,2292,1039,0.7993821201004054,0.7352866242038216,0.7993821201004054,0.7993821201004054,0.7131168719317887,0.6783817707830453,0.3567485078209431,5,"all","NB"
4793,2714,2464,386,0.9254682371114115,0.8754838709677419,0.9254682371114115,0.9254682371114115,0.7708266323576713,0.7248237906729748,0.4496262523809169,5,"all","MLP"
4471,2761,2417,708,0.8632940722147132,0.7959066013260305,0.8632940722147132,0.8632940722147132,0.7410292533355433,0.6982717002993145,0.3965241656499389,6,"all","DT"
4779,2582,2596,400,0.9227650125506854,0.8658618376928237,0.9227650125506854,0.9227650125506854,0.7613509638362274,0.7107270445109588,0.42143039445007063,6,"all","RF"
4182,2891,2287,997,0.8074917937825835,0.7435699588477366,0.8074917937825835,0.8074917937825835,0.7180631868131868,0.6829197644105436,0.36582426969471504,6,"all","NB"
4797,2675,2503,382,0.9262405869859046,0.8750408897612038,0.9262405869859046,0.9262405869859046,0.7688116034938697,0.7214444337163272,0.44286682984284487,6,"all","MLP"
4454,2756,2422,725,0.8600115852481174,0.7917265153691468,0.8600115852481174,0.8600115852481174,0.738946495230195,0.6961475330694217,0.3922758317525459,7,"all","DT"
4771,2603,2575,408,0.9212203128016991,0.8644968449020259,0.9212203128016991,0.9212203128016991,0.7618363273453094,0.7119822342377137,0.4239411882075324,7,"all","RF"
4110,2918,2260,1069,0.7935894960417069,0.7318786054677703,0.7935894960417069,0.7935894960417069,0.7117499350593126,0.6785748768948537,0.35713547223287034,7,"all","NB"
4791,2701,2477,388,0.9250820621741649,0.8743930074457753,0.9250820621741649,0.9250820621741649,0.7698240539889131,0.7233754948344115,0.4467294349687456,7,"all","MLP"
4463,2795,2383,716,0.861749372465727,0.7960694958701224,0.861749372465727,0.861749372465727,0.7422869022869024,0.7007820797528241,0.40154555324999,8,"all","DT"
4786,2631,2547,393,0.9241166248310485,0.8700396825396826,0.9241166248310485,0.9241166248310485,0.7650255754475702,0.7161340156415951,0.43224522422148004,8,"all","RF"
4149,2932,2246,1030,0.8011199073180151,0.7400302877334679,0.8011199073180151,0.8011199073180151,0.7169517884914465,0.6836921888577774,0.36737002864009277,8,"all","NB"
4788,2737,2441,391,0.9245027997682951,0.875,0.9245027997682951,0.9245027997682951,0.7717601547388782,0.7265617456792508,0.45310258262682623,8,"all","MLP"
4433,2759,2419,746,0.8559567484070284,0.7871611982881598,0.8559567484070284,0.8559567484070284,0.7369295985371124,0.6944095780631457,0.3888000852326159,9,"all","DT"
4772,2592,2586,407,0.9214134002703225,0.8642880960320106,0.9214134002703225,0.9214134002703225,0.761266650713887,0.7110167036786714,0.42200991972168617,9,"all","RF"
4118,2913,2265,1061,0.7951341957906932,0.7330145948666331,0.7951341957906932,0.7951341957906932,0.7123335063137864,0.6788645360625664,0.3577146477547577,9,"all","NB"
4780,2688,2490,399,0.9229581000193088,0.8707482993197279,0.9229581000193088,0.9229581000193088,0.7679331673226766,0.7210582214927103,0.4420946869173274,9,"all","MLP"
4439,2743,2435,740,0.8571152732187681,0.7875394774619581,0.8571152732187681,0.8571152732187681,0.7365801045382893,0.6934440475041035,0.38686871235097225,10,"all","DT"
4777,2616,2562,402,0.9223788376134389,0.8667992047713717,0.9223788376134389,0.9223788376134389,0.7632209618149864,0.7138167422998938,0.42761042732223886,10,"all","RF"
4138,2917,2261,1041,0.7989959451631589,0.736988377968671,0.7989959451631589,0.7989959451631589,0.7148039385040594,0.6811818094042676,0.36234910829447753,10,"all","NB"
4780,2697,2481,399,0.9229581000193088,0.8711240310077519,0.9229581000193088,0.9229581000193088,0.7684887459807074,0.7219271989958482,0.44383280303071837,10,"all","MLP"
4445,2733,2445,734,0.8582737980305079,0.7882895875396596,0.8582737980305079,0.8582737980305079,0.7365978954345845,0.6930578352804866,0.38609608033918086,11,"all","DT"
4764,2597,2581,415,0.9198687005213362,0.8622177954847278,0.9198687005213362,0.9198687005213362,0.7607793037368252,0.7107270445109588,0.4214307180857958,11,"all","RF"
4102,2905,2273,1077,0.7920447962927206,0.7295328980411854,0.7920447962927206,0.7920447962927206,0.71005712307426,0.6765472627208651,0.3530800934835665,11,"all","NB"
4786,2682,2496,393,0.9241166248310485,0.8721951219512195,0.9241166248310485,0.9241166248310485,0.7681566487440816,0.7210582214927103,0.4420945620867959,11,"all","MLP"
4453,2734,2444,726,0.8598184977794942,0.7901734104046243,0.8598184977794942,0.8598184977794942,0.7374958595561445,0.6939268127836246,0.38783401090759123,12,"all","DT"
4768,2578,2600,411,0.9206410503958293,0.8624958179993308,0.9206410503958293,0.9206410503958293,0.760022316091496,0.7092787486723955,0.41853376003502407,12,"all","RF"
4146,2879,2299,1033,0.8005406449121452,0.7359406952965235,0.8005406449121452,0.8005406449121452,0.713351686166552,0.678285217727141,0.3565552412309724,12,"all","NB"
4776,2673,2505,403,0.9221857501448156,0.8689856957087126,0.9221857501448156,0.9221857501448156,0.7666131621187802,0.71922371343053,0.43842541252994355,12,"all","MLP"
4460,2780,2398,719,0.8611701100598571,0.7945127179194056,0.8611701100598571,0.8611701100598571,0.7410484339951815,0.6990441247465482,0.39806940048622036,13,"all","DT"
4780,2596,2582,399,0.9229581000193088,0.8667779632721202,0.9229581000193088,0.9229581000193088,0.7622996571246311,0.712175340349522,0.4243272442982759,13,"all","RF"
4118,2896,2282,1061,0.7951341957906932,0.7318675764468031,0.7951341957906932,0.7951341957906932,0.7112876759651093,0.6772231341121947,0.3544315655004951,13,"all","NB"
4783,2701,2477,396,0.9235373624251786,0.8721343235389086,0.9235373624251786,0.9235373624251786,0.7690328804566283,0.7226030703871777,0.4451846086460562,13,"all","MLP"
4438,2796,2382,741,0.8569221857501448,0.7905004240882103,0.8569221857501448,0.8569221857501448,0.7397283106925577,0.698464806411123,0.39691115483991196,14,"all","DT"
4770,2641,2537,409,0.9210272253330759,0.8659016393442623,0.9210272253330759,0.9210272253330759,0.7640557424315234,0.7155546973061697,0.4310868168085096,14,"all","RF"
4111,2942,2236,1068,0.7937825835103302,0.7336658354114713,0.7937825835103302,0.7937825835103302,0.713343744577477,0.6809887032924592,0.36196350589742543,14,"all","NB"
4780,2751,2427,399,0.9229581000193088,0.8733333333333333,0.9229581000193088,0.9229581000193088,0.7718391732601324,0.727141064014676,0.45426148746069867,14,"all","MLP"
4450,2772,2406,729,0.8592392353736242,0.7917737789203085,0.8592392353736242,0.8592392353736242,0.739509763190694,0.6973061697402723,0.3945934042010368,15,"all","DT"
4789,2643,2535,390,0.9246958872369183,0.8714144411473789,0.9246958872369183,0.9246958872369183,0.766056146524834,0.7175823114801584,0.4351420270508911,15,"all","RF"
4113,2934,2244,1066,0.7941687584475767,0.7335,0.7941687584475767,0.7941687584475767,0.7130721220527044,0.6804093849570338,0.36080472480273434,15,"all","NB"
4786,2738,2440,393,0.9241166248310485,0.8744809964867455,0.9241166248310485,0.9241166248310485,0.7716243450221685,0.7264651926233465,0.45290949973464373,15,"all","MLP"
4462,2792,2386,717,0.8615562849971037,0.7956682815616984,0.8615562849971037,0.8615562849971037,0.7419971730273551,0.7003958675292073,0.4007730824410887,16,"all","DT"
4779,2600,2578,400,0.9227650125506854,0.8666666666666667,0.9227650125506854,0.9227650125506854,0.7624441608168474,0.7124649995172347,0.4249066398346974,16,"all","RF"
4133,2910,2268,1046,0.7980305078200425,0.7355915065722952,0.7980305078200425,0.7980305078200425,0.7138169257340242,0.6800231727334171,0.3600317583542907,16,"all","NB"
4791,2691,2487,388,0.9250820621741649,0.873985060084443,0.9250820621741649,0.9250820621741649,0.7692060688769367,0.7224099642753693,0.44479819509477847,16,"all","MLP"
4444,2795,2383,735,0.8580807105618845,0.7917847025495751,0.8580807105618845,0.8580807105618845,0.7402965184074629,0.698947571690644,0.3978766363621651,17,"all","DT"
4775,2650,2528,404,0.9219926626761923,0.8677144728225278,0.9219926626761923,0.9219926626761923,0.7651017465149815,0.7169064400888289,0.43379045189776183,17,"all","RF"
4146,2928,2250,1033,0.8005406449121452,0.7392072708911891,0.8005406449121452,0.8005406449121452,0.7163714902807774,0.6830163174664479,0.3660182433761674,17,"all","NB"
4781,2758,2420,398,0.923151187487932,0.8738910012674271,0.923151187487932,0.923151187487932,0.7723747980613893,0.7279134884619098,0.4558064556668368,17,"all","MLP"
4452,2769,2409,727,0.8596254103108708,0.7920480549199085,0.8596254103108708,0.8596254103108708,0.7395348837209302,0.6972096166843681,0.3944002355905078,18,"all","DT"
4777,2595,2583,402,0.9223788376134389,0.8658658658658659,0.9223788376134389,0.9223788376134389,0.7619427386553952,0.7117891281259052,0.4235548098998383,18,"all","RF"
4138,2929,2249,1041,0.7989959451631589,0.7377833753148615,0.7989959451631589,0.7989959451631589,0.715545564585855,0.6823404460751182,0.36466657652234685,18,"all","NB"
4783,2701,2477,396,0.9235373624251786,0.8721343235389086,0.9235373624251786,0.9235373624251786,0.7690328804566283,0.7226030703871777,0.4451846086460562,18,"all","MLP"
4452,2755,2423,727,0.8596254103108708,0.7912119471568064,0.8596254103108708,0.8596254103108708,0.7386759581881532,0.695857873901709,0.3916965064233632,19,"all","DT"
4775,2589,2589,404,0.9219926626761923,0.8650183762111594,0.9219926626761923,0.9219926626761923,0.7613808498764251,0.7110167036786714,0.42200985505935223,19,"all","RF"
4133,2918,2260,1046,0.7980305078200425,0.736125126135217,0.7980305078200425,0.7980305078200425,0.7143104044244729,0.6807955971806507,0.3615767376913741,19,"all","NB"
4783,2695,2483,396,0.9235373624251786,0.8718861209964412,0.9235373624251786,0.9235373624251786,0.7686621132985135,0.7220237520517524,0.4440258648081168,19,"all","MLP"
4455,2731,2447,724,0.8602046727167407,0.7904486251808972,0.8602046727167407,0.8602046727167407,0.7375217283337472,0.6938302597277204,0.3876408415192265,20,"all","DT"
4779,2582,2596,400,0.9227650125506854,0.8658618376928237,0.9227650125506854,0.9227650125506854,0.7613509638362274,0.7107270445109588,0.42143039445007063,20,"all","RF"
4147,2916,2262,1032,0.8007337323807685,0.7386018237082067,0.8007337323807685,0.8007337323807685,0.7157404211253021,0.6819542338515014,0.36389387374005033,20,"all","NB"
4778,2690,2488,401,0.9225719250820622,0.8702685215140731,0.9225719250820622,0.9225719250820622,0.7678585777420652,0.7210582214927103,0.44209472852749204,20,"all","MLP"
4447,2746,2432,732,0.8586599729677544,0.78953421506613,0.8586599729677544,0.8586599729677544,0.7376015923038647,0.6945061311190499,0.38899288977048496,21,"all","DT"
4776,2614,2564,403,0.9221857501448156,0.8664235996022539,0.9221857501448156,0.9221857501448156,0.7630002396357537,0.7135270831321812,0.42703107496606063,21,"all","RF"
4119,2896,2282,1060,0.7953272832593165,0.7320525783619818,0.7953272832593165,0.7953272832593165,0.71139896373057,0.6773196871680989,0.3546246639770788,21,"all","NB"
4793,2699,2479,386,0.9254682371114115,0.8748784440842787,0.9254682371114115,0.9254682371114115,0.7698980001606297,0.7233754948344115,0.44672939370424886,21,"all","MLP"
4456,2730,2448,723,0.860397760185364,0.790616854908775,0.860397760185364,0.860397760185364,0.7375651742117024,0.6938302597277204,0.3876408186836371,22,"all","DT"
4777,2573,2605,402,0.9223788376134389,0.8648739495798319,0.9223788376134389,0.9223788376134389,0.7606082318286761,0.7096649608960124,0.41930606443177326,22,"all","RF"
4136,2873,2305,1043,0.7986097702259123,0.7336567926455567,0.7986097702259123,0.7986097702259123,0.7118760757314974,0.6767403688326735,0.35346551870022297,22,"all","NB"
4777,2680,2498,402,0.9223788376134389,0.8695652173913043,0.9223788376134389,0.9223788376134389,0.7671430865585352,0.7199961378777638,0.4399703846394519,22,"all","MLP"
4454,2760,2418,725,0.8600115852481174,0.7919655667144907,0.8600115852481174,0.8600115852481174,0.739191768317982,0.6965337452930386,0.3930483259155336,23,"all","DT"
4788,2613,2565,391,0.9245027997682951,0.8698402130492676,0.9245027997682951,0.9245027997682951,0.7641238429620172,0.7145891667471276,0.42915518943606906,23,"all","RF"
4148,2894,2284,1031,0.8009268198493917,0.7373248407643312,0.8009268198493917,0.8009268198493917,0.7144948755490482,0.6799266196775128,0.3598382778224035,23,"all","NB"
4798,2690,2488,381,0.926433674454528,0.8759361771409964,0.926433674454528,0.926433674454528,0.7698355395106297,0.7229892826107946,0.4459567944781526,23,"all","MLP"
4451,2747,2431,728,0.8594323228422476,0.7905035971223021,0.8594323228422476,0.8594323228422476,0.7380814194511235,0.694988896398571,0.3899584168196831,24,"all","DT"
4781,2597,2581,398,0.923151187487932,0.8671118530884808,0.923151187487932,0.923151187487932,0.7624591340403476,0.7123684464613305,0.42471347224574435,24,"all","RF"
4160,2915,2263,1019,0.8032438694728712,0.740976105744789,0.8032438694728712,0.8032438694728712,0.7171177383209791,0.683112870522352,0.3662110348057743,24,"all","NB"
4784,2688,2490,395,0.9237304498938019,0.8718780408692831,0.9237304498938019,0.9237304498938019,0.7683289167268932,0.7214444337163272,0.4428670999346301,24,"all","MLP"
4476,2783,2395,703,0.8642595095578297,0.7983362019506598,0.8642595095578297,0.8642595095578297,0.7429045643153528,0.7008786328087284,0.40173838649260957,25,"all","DT"
